Text,Main_Class,Sub_Class
"I KNOW Covid First SARS RNA DNA. Only No DNA Especially As Vaccine, They DNA, If Cancer, Aids, No SARS DNA. People Funny Of Just I I I All Really Fever, The I We IDK I California, USA California Covid Huntington Memorial Hospital Pasadena, Ca I Covid. You Covid. The Strokes, If 5G Covid"" Wuhan Everything 5G. Our 5G 4G, The Department Defense 5G This The Silent War. The In USA, Maintain Billion That They These It No, American, Trump They Truth Trump",Forum,COVID-19
Half Coronavirus Deaths Vaccinated People,Forum,COVID-19
Half Coronavirus Deaths Vaccinated People,Forum,COVID-19
Half Coronavirus Deaths Vaccinated People,Forum,COVID-19
UK: Half Coronavirus Deaths Vaccinated People,Forum,COVID-19
"As Delta U.K., Covid-19 But",Forum,COVID-19
"On Delta, India, U.S.,",Forum,COVID-19
"The U.K. Delta The By June, Delta And Delta",Forum,COVID-19
The Delta U.K. Covid But,Forum,COVID-19
Data Public Health England Delta June Fifty,Forum,COVID-19
"First, Not Those Covid-19",Forum,COVID-19
"Second, Covid-19 If Covid-19 Some",Forum,COVID-19
"Third, If Consider All Covid-19",Forum,COVID-19
The Covid-19 Alpha U.K. Public Health England Alpha It Delta Covid-19. And,Forum,COVID-19
Unvaccinated People Need Controlled Restricted”,Forum,COVID-19
Unvaccinated People Need Controlled Restricted”,Forum,COVID-19
Australian MP Says Unvaccinated People Need Controlled Restricted”,Forum,COVID-19
Australian MP Frank Pangallo,Forum,COVID-19
The SA- Best Party Australian Reclaim Net.,Forum,COVID-19
"Sildenafil UK-92,480) Pfizer's Sandwich, Kent, England. It The Morriston Hospital Swansea. Phase I Ian Osterloh Pfizer The FDA March United States, United States It Viagra US$1.934",Market,COVID-19
"Boolell M, Allen MJ, Ballard SA, Gepi- Attee S, Muirhead GJ, Naylor AM, June Sildenafil: G M P-specific International Journal Impotence Research.",Market,COVID-19
"Terrett NK, Bell AS, Brown D, Elllis P Sildenafil Viagra), Type G M P Bioorg Med Chem Lett.",Market,COVID-19
"Ashburn TT, Thor KB August Drug Nature Reviews. Drug Discovery.",Forum,COVID-19
"Kling J From Viagra"". Mod. Drug Discov.",Forum,COVID-19
There That The Government,Forum,COVID-19
Jab Beast! Follow God.. You,Forum,COVID-19
The WHO Is Renaming COVID Variants,Forum,COVID-19
Is Right Wing Conspiracy Theory Becoming Fact?,Forum,COVID-19
Shedding Spreading Genetic Vaccines,Forum,COVID-19
"Papers Please! No Shot, No Service’",Forum,COVID-19
Vaxx Causes Heart Inflammation,Forum,COVID-19
Vaccine Passports: One Passport Rule Them All,Market,COVID-19
Last Silent Thought Wed Apr,Forum,COVID-19
Sort Author Post Replies Subject Views,Forum,COVID-19
Re: DO NOT GET VACCINATED!,Forum,COVID-19
What You Obviously YOU DO NOT We The It This,Market,COVID-19
Just Herpes Simplex Uncharacteristically Borrelia Russia. Some Lyme Disease (I Dangers,Market,COVID-19
"Here's For Lyme Disease. It's I Well, Sadly, Lyme Disease,",Market,COVID-19
Re: DO NOT GET VACCINATED!,Forum,COVID-19
The Coronavirus They Their India Pharma They Likewise,Forum,COVID-19
"I COVID, We Azithromycin The I",Forum,COVID-19
Shedding Spreading Genetic Vaccines,Forum,COVID-19
Shedding Spreading Genetic Vaccines,Forum,COVID-19
Shedding Spreading Genetic Vaccines,Forum,COVID-19
"Journalists Pfizer However, It’s",Forum,COVID-19
It For Moderna RNA-based Exosomes It,Forum,COVID-19
The DNA The SPIONs),Forum,COVID-19
SPIONs Valuable,Forum,COVID-19
The Numerous The Fe3 O4,Forum,COVID-19
The We Fe3 O4-based SPIONs Oe,Forum,COVID-19
Naked SPIONs In SPIONs SPIONs,Forum,COVID-19
Polyethylenimine SPIONs DNA,Forum,COVID-19
DO NOT GET VACCINATED!,Forum,COVID-19
"I Am I I UNEQUIVOCALLY N C B I/ Pubmed, I",Forum,COVID-19
"YOU HAVE BEEN CONDITIONED TO JERK OFF TO PORN, CONSUME AND DESTROY YOUR OWN HEALTH FOR INSTANT GRATIFICATION.",Forum,COVID-19
They FOOD EAT MEAT FRESH VEGETABLES AVOID EVERYTHING ELSE.,Forum,COVID-19
"They Proteins Phenylalanine, Tyrosine Dopamine Tryptophan Not Glycine",Market,COVID-19
Speaking Schizophrenia TRPV1 I FAAH COMT,Market,COVID-19
PLEASE BE SAFE...THERE IS A LOT OF INFO OUT THERE..HONE YOUR SKILLS IN CYBERSECURITY AND BIOMED.,Forum,COVID-19
My She Shes Havent NEW SOUTH WALES I They,Forum,COVID-19
Coronavirus: Dozens M Ps Covid,Forum,COVID-19
Former Labour Jeremy Corbyn Tory Iain Duncan Smith M Ps Covid England.,Forum,COVID-19
It Daily Telegraph Covid,Market,COVID-19
"Prime Minister Boris Johnson England,",Market,COVID-19
Culture Secretary Oliver Dowden,Market,COVID-19
But M Ps Covid,Market,COVID-19
The Mr Corbyn’s Covid Research Group Conservative MPs,Market,COVID-19
Accusing Liberal Democrats Sir Ed Davey As Vaccine Covid ID,Forum,COVID-19
"Sir Graham Brady, Committee Tory M Ps, With",Market,COVID-19
RUSSIAN AND CHINESE DISINFORMATION CAMPAIGNS,Forum,COVID-19
"PROOF THAT THE RUSSIANS AND CHINESE ARE EXECUTING DISINFORMATION CAMPAIGNS FOR PSYCHOLOGICAL ECONOMIC WARFARE TO DEMORALIZE THE UNITED STATES AND HER ALLIES IN A LONG DRAWN OUT PROCESS. NORMALIZING CRISIS(ES), SUCH AS THE COVID-19 CORONAVIRUS PANDEMIC.",Forum,COVID-19
The Russians Chinese SOCIAL MEDIA FEAR PANIC AMERICA ALLIES.,Forum,COVID-19
THESE DISINFORMATION CAMPAIGNS BY THE RUSSIAN AND CHINESE GOVERNMENTS AND ORGANIZATIONS ASSOCIATED WITH THEM INFLUENCE THE PEOPLE TO VOTE THE WAY THEY WANT THEM TO. THEY WANT THE AMERICAN PEOPLE TO NOT TRUST THEIR GOVERNMENT INSTITUTIONS FOR IMPORTANT INFORMATION.,Forum,COVID-19
KGB Yuri Bezmenov's America Man From Call Duty: Black Ops Cold War,Forum,COVID-19
FULL INTERVIEW OF KGG DEFECTOR YURI BEZMENOV,Forum,COVID-19
"THEORY: ALSO, ISNT IT ODD THAT PRESIDENT TRUMP HAS A TRUMP TOWER IN MOSCOW, COULD HE ACTUALLY BE A RUSSIAN AGENT THAT WANTS TO CAUSE CHAOS ON PURPOSE? WHO KNOWS?",Forum,COVID-19
WITH THESE DISINFORMATION CAMPAIGNS ITS HARD TO KNOW FACT FROM FICTION ANYMORE.,Forum,COVID-19
TRUMP IS SUPPORTED BY THE RUSSIANS.,Forum,COVID-19
FACT CHECK EVERYTHING AND EVERYONE.,Forum,COVID-19
"BIDEN IS ALSO VERY CORRUPT AND IS A PUPPET FOR THE CRONIES AROUND HIM. REMEMBER, THESE CAUSES TRULY SERVE OUR FOREIGN ADVERSARIES TO DEMORALIZE OUR NATION. BIDEN IS SUPPORTED BY THE CHINESE. Biden's Clinton's Obama's Hunter Biden",Forum,COVID-19
SCOPE OF THESE DISINFORMATION CAMPAIGNS:,Forum,COVID-19
"PLATFORMS OF DISINFORMATION: NEWS MEDIA, SOCIAL MEDIA, FAKE NEWS WEBSITES",Forum,COVID-19
"PERPETRATORS: The Chinese Communist Party Government, The Russian Federation Government",Forum,COVID-19
SCOPE OF DISINFORMATION/MISINFORMATION CAMPAIGNS:,Forum,COVID-19
"Also, Republicans Democrats? More Republican Democrat",Forum,COVID-19
Where's Green Party Candidate?,Forum,COVID-19
Where's Constitution Party Candidate?,Forum,COVID-19
"In Democrat Republican TV NBC, CNN, FOX)?",Forum,COVID-19
Are Constitutional Democratic Republic,Forum,COVID-19
"Please I I However, China Black Asian Latin Caucasian LGBT All Lives Matter. Activists I",Forum,COVID-19
I WE NEED TO BE EDUCATED AND DO SOMETHING ABOUT THIS NOW. AN EDUCATED CITEZENRY IS THE BEST DEFENSE OF A CONSTITUTIONAL DEMOCRACY!,Forum,COVID-19
Re: RUSSIAN AND CHINESE DISINFORMATION CAMPAIGNS,Forum,COVID-19
"The Covid British However, Dr. Luc Nobel Retrovirology Lab Pasteur Institute",Forum,COVID-19
Dr. Antibody- Dependent Enhancement” (ADE). Prof.,Forum,COVID-19
European Medicines Agency. The COVID-19,Forum,COVID-19
