Text,Main_Class,Sub_Class,scam,link
"I KNOW Covid First SARS RNA DNA. Only No DNA Especially As Vaccine, They DNA, If Cancer, Aids, No SARS DNA. People Funny Of Just I I I All Really Fever, The I We IDK I California, USA California Covid Huntington Memorial Hospital Pasadena, Ca I Covid. You Covid. The Strokes, If 5G Covid"" Wuhan Everything 5G. Our 5G 4G, The Department Defense 5G This The Silent War. The In USA, Maintain Billion That They These It No, American, Trump They Truth Trump",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_37_/
Half Coronavirus Deaths Vaccinated People,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
Half Coronavirus Deaths Vaccinated People,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
Half Coronavirus Deaths Vaccinated People,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
UK: Half Coronavirus Deaths Vaccinated People,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
"As Delta U.K., Covid-19 But",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
"On Delta, India, U.S.,",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
"The U.K. Delta The By June, Delta And Delta",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
The Delta U.K. Covid But,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
Data Public Health England Delta June Fifty,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
"First, Not Those Covid-19",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
"Second, Covid-19 If Covid-19 Some",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
"Third, If Consider All Covid-19",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
The Covid-19 Alpha U.K. Public Health England Alpha It Delta Covid-19. And,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_31_/
Unvaccinated People Need Controlled Restricted”,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_28_/
Unvaccinated People Need Controlled Restricted”,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_28_/
Australian MP Says Unvaccinated People Need Controlled Restricted”,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_28_/
Australian MP Frank Pangallo,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_28_/
The SA- Best Party Australian Reclaim Net.,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_28_/
"Sildenafil UK-92,480) Pfizer's Sandwich, Kent, England. It The Morriston Hospital Swansea. Phase I Ian Osterloh Pfizer The FDA March United States, United States It Viagra US$1.934",Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_43_/
"Boolell M, Allen MJ, Ballard SA, Gepi- Attee S, Muirhead GJ, Naylor AM, June Sildenafil: G M P-specific International Journal Impotence Research.",Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_43_/
"Terrett NK, Bell AS, Brown D, Elllis P Sildenafil Viagra), Type G M P Bioorg Med Chem Lett.",Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_43_/
"Ashburn TT, Thor KB August Drug Nature Reviews. Drug Discovery.",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_43_/
"Kling J From Viagra"". Mod. Drug Discov.",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_43_/
There That The Government,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_44_/
Jab Beast! Follow God.. You,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_32_/
The WHO Is Renaming COVID Variants,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_32_/
Is Right Wing Conspiracy Theory Becoming Fact?,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_32_/
Shedding Spreading Genetic Vaccines,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_32_/
"Papers Please! No Shot, No Service’",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_32_/
Vaxx Causes Heart Inflammation,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_32_/
Vaccine Passports: One Passport Rule Them All,Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_32_/
Last Silent Thought Wed Apr,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_32_/
Sort Author Post Replies Subject Views,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_32_/
Re: DO NOT GET VACCINATED!,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_20_/
What You Obviously YOU DO NOT We The It This,Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_20_/
Just Herpes Simplex Uncharacteristically Borrelia Russia. Some Lyme Disease (I Dangers,Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_20_/
"Here's For Lyme Disease. It's I Well, Sadly, Lyme Disease,",Market,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_20_/
Re: DO NOT GET VACCINATED!,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_20_/
The Coronavirus They Their India Pharma They Likewise,Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_20_/
"I COVID, We Azithromycin The I",Forum,COVID-19,0,k5aintllrufq23khjnmmfli6uxioboe3ylcao7k72mk2bgvwqb5ek4ad.onion_20_/
